date,time,home_team,away_team,home_score,away_score,stage,venue,attendance,tournament,match_id,total_goals,yellow_cards,red_cards,total_cards,stoppage_time_first_half,stoppage_time_second_half,total_stoppage_time,total_match_time,had_extra_time,winner,day_of_week,match_week,penalty_result
2025-07-05,20:00,Morocco,Zambia,2,1,Group A,"Prince Moulay Abdellah Stadium, Rabat",35000,WAFCON 2024,WAFCON_2024_01,3,3,0,3,1,5,6,96,False,Morocco,Saturday,Week 1,
2025-07-05,17:00,Senegal,DR Congo,4,0,Group A,"Stade Mohammed V, Casablanca",28000,WAFCON 2024,WAFCON_2024_02,4,0,0,0,3,4,7,97,False,Senegal,Saturday,Week 1,
2025-07-09,20:00,Morocco,Senegal,1,0,Group A,"Prince Moulay Abdellah Stadium, Rabat",38000,WAFCON 2024,WAFCON_2024_03,1,2,0,2,2,4,6,96,False,Morocco,Wednesday,Week 1,
2025-07-09,17:00,Zambia,DR Congo,3,1,Group A,"Stade Mohammed V, Casablanca",22000,WAFCON 2024,WAFCON_2024_04,4,0,0,0,3,4,7,97,False,Zambia,Wednesday,Week 1,
2025-07-13,20:00,Morocco,DR Congo,4,0,Group A,"Stade El Bachir, Mohammedia",25000,WAFCON 2024,WAFCON_2024_05,4,1,0,1,3,4,7,97,False,Morocco,Sunday,Week 2,
2025-07-13,20:00,Zambia,Senegal,0,1,Group A,"Prince Moulay Abdellah Stadium, Rabat",30000,WAFCON 2024,WAFCON_2024_06,1,1,0,1,1,4,5,95,False,Senegal,Sunday,Week 2,
2025-07-06,20:00,Nigeria,Tunisia,3,0,Group B,"Stade Municipal, Berkane",18000,WAFCON 2024,WAFCON_2024_07,3,4,0,4,3,5,8,98,False,Nigeria,Sunday,Week 1,
2025-07-06,17:00,Algeria,Botswana,1,0,Group B,"Complexe Sportif, Oujda",15000,WAFCON 2024,WAFCON_2024_08,1,2,0,2,1,4,5,95,False,Algeria,Sunday,Week 1,
2025-07-10,20:00,Nigeria,Botswana,1,0,Group B,"Stade Municipal, Berkane",16000,WAFCON 2024,WAFCON_2024_09,1,4,0,4,1,3,4,94,False,Nigeria,Thursday,Week 1,
2025-07-10,17:00,Algeria,Tunisia,0,0,Group B,"Complexe Sportif, Oujda",17000,WAFCON 2024,WAFCON_2024_10,0,3,0,3,3,2,5,95,False,Draw,Thursday,Week 1,
2025-07-14,20:00,Nigeria,Algeria,0,0,Group B,"Prince Moulay Abdellah Stadium, Rabat",32000,WAFCON 2024,WAFCON_2024_11,0,3,0,3,2,4,6,96,False,Draw,Monday,Week 2,
2025-07-14,20:00,Tunisia,Botswana,1,2,Group B,"Stade Mohammed V, Casablanca",20000,WAFCON 2024,WAFCON_2024_12,3,4,0,4,1,5,6,96,False,Botswana,Monday,Week 2,
2025-07-07,20:00,South Africa,Ghana,2,1,Group C,"Stade El Bachir, Mohammedia",24000,WAFCON 2024,WAFCON_2024_13,3,3,0,3,3,6,9,99,False,South Africa,Monday,Week 1,
2025-07-07,17:00,Mali,Tanzania,1,0,Group C,"Stade Municipal, Berkane",12000,WAFCON 2024,WAFCON_2024_14,1,1,0,1,2,2,4,94,False,Mali,Monday,Week 1,
2025-07-11,20:00,South Africa,Mali,4,0,Group C,"Stade El Bachir, Mohammedia",26000,WAFCON 2024,WAFCON_2024_15,4,3,0,3,3,4,7,97,False,South Africa,Friday,Week 1,
2025-07-11,17:00,Ghana,Tanzania,2,0,Group C,"Stade Municipal, Berkane",14000,WAFCON 2024,WAFCON_2024_16,2,3,0,3,2,5,7,97,False,Ghana,Friday,Week 1,
2025-07-15,20:00,South Africa,Tanzania,3,0,Group C,"Complexe Sportif, Oujda",16000,WAFCON 2024,WAFCON_2024_17,3,4,0,4,3,4,7,97,False,South Africa,Tuesday,Week 2,
2025-07-15,20:00,Ghana,Mali,1,1,Group C,"Stade El Bachir, Mohammedia",22000,WAFCON 2024,WAFCON_2024_18,2,1,0,1,2,4,6,96,False,Draw,Tuesday,Week 2,
2025-07-19,17:00,Nigeria,Zambia,1,0,Quarter-final,"Stade Mohammed V, Casablanca",35000,WAFCON 2024,WAFCON_2024_19,1,4,0,4,3,4,7,97,False,Nigeria,Saturday,Week 3,
2025-07-19,20:00,Morocco,Mali,3,0,Quarter-final,"Prince Moulay Abdellah Stadium, Rabat",42000,WAFCON 2024,WAFCON_2024_20,3,2,0,2,1,5,6,96,False,Morocco,Saturday,Week 3,
2025-07-20,17:00,Ghana,Algeria,2,0,Quarter-final,"Stade El Bachir, Mohammedia",28000,WAFCON 2024,WAFCON_2024_21,2,5,0,5,3,4,7,97,False,Ghana,Sunday,Week 3,
2025-07-20,20:00,South Africa,Senegal,2,1,Quarter-final,"Stade Moulay Hassan, Rabat",30000,WAFCON 2024,WAFCON_2024_22,3,4,0,4,2,6,8,98,False,South Africa,Sunday,Week 3,
2025-07-23,20:00,Nigeria,South Africa,1,0,Semi-final,"Prince Moulay Abdellah Stadium, Rabat",40000,WAFCON 2024,WAFCON_2024_23,1,6,0,6,1,6,7,97,False,Nigeria,Wednesday,Week 3,
2025-07-23,17:00,Morocco,Ghana,2,1,Semi-final,"Stade Mohammed V, Casablanca",45000,WAFCON 2024,WAFCON_2024_24,3,3,0,3,1,4,5,95,False,Morocco,Wednesday,Week 3,
2025-07-25,17:00,Ghana,South Africa,1,1,3rd Place,"Stade El Bachir, Mohammedia",25000,WAFCON 2024,WAFCON_2024_25,2,1,0,1,1,3,4,94,False,Draw,Friday,Week 3,Ghana 4-3
2025-07-26,20:00,Nigeria,Morocco,3,2,Final,"Olympic Stadium, Rabat",50000,WAFCON 2024,WAFCON_2024_26,5,3,1,4,3,7,10,100,False,Nigeria,Saturday,Week 4,
